0: func=_ZN4llvm23SmallVectorTemplateBaseISt8functionIFbNS_9StringRefERNS_11PassManagerINS_8FunctionENS_15AnalysisManagerIS4_JEEEJEEENS_8ArrayRefINS_11PassBuilder15PipelineElementEEEEELb0EE13destroy_rangeEPSE_SG_, depth=1, subLoops=false, BBs=2, instrs=10, atomics=0, branches=2
1: func=_ZSt16__do_uninit_copyISt13move_iteratorIPSt8functionIFbN4llvm9StringRefERNS2_11PassManagerINS2_8FunctionENS2_15AnalysisManagerIS5_JEEEJEEENS2_8ArrayRefINS2_11PassBuilder15PipelineElementEEEEEESG_ET0_T_SJ_SI_, depth=1, subLoops=false, BBs=3, instrs=11, atomics=0, branches=3
2: func=_ZN4llvm15ReassociatePassC2Ev, depth=1, subLoops=false, BBs=1, instrs=5, atomics=0, branches=1
3: func=_ZN4llvm15ReassociatePassD2Ev, depth=1, subLoops=false, BBs=1, instrs=5, atomics=0, branches=1
4: func=_ZN4llvm15ReassociatePassC2EOS0_, depth=1, subLoops=false, BBs=1, instrs=7, atomics=0, branches=1
5: func=_ZSt14__relocate_a_1IPSt10unique_ptrIN4llvm6detail11PassConceptINS1_8FunctionENS1_15AnalysisManagerIS4_JEEEJEEESt14default_deleteIS7_EESB_SaISA_EET0_T_SE_SD_RT1_, depth=1, subLoops=false, BBs=3, instrs=16, atomics=0, branches=3
6: func=_ZN4llvm12DenseMapBaseINS_8DenseMapIPNS_10BasicBlockEjNS_12DenseMapInfoIS3_vEENS_6detail12DenseMapPairIS3_jEEEES3_jS5_S8_E9initEmptyEv, depth=1, subLoops=false, BBs=3, instrs=13, atomics=0, branches=3
7: func=_ZN4llvm12DenseMapBaseINS_8DenseMapINS_11AssertingVHINS_5ValueEEEjNS_12DenseMapInfoIS4_vEENS_6detail12DenseMapPairIS4_jEEEES4_jS6_S9_E9initEmptyEv, depth=1, subLoops=false, BBs=3, instrs=12, atomics=0, branches=3
8: func=_ZN4llvm12DenseMapBaseINS_8DenseMapINS_11AssertingVHINS_11InstructionEEENS_6detail13DenseSetEmptyENS_12DenseMapInfoIS4_vEENS5_12DenseSetPairIS4_EEEES4_S6_S8_SA_E9initEmptyEv, depth=1, subLoops=false, BBs=3, instrs=12, atomics=0, branches=3
9: func=_ZNSt11_Deque_baseIN4llvm11AssertingVHINS0_11InstructionEEESaIS3_EE15_M_create_nodesEPPS3_S7_, depth=1, subLoops=false, BBs=3, instrs=12, atomics=0, branches=3
10: func=_ZN4llvm12DenseMapBaseINS_8DenseMapISt4pairIPNS_5ValueES4_ENS_15ReassociatePass12PairMapValueENS_12DenseMapInfoIS5_vEENS_6detail12DenseMapPairIS5_S7_EEEES5_S7_S9_SC_E9initEmptyEv, depth=1, subLoops=false, BBs=3, instrs=12, atomics=0, branches=3
